WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RDT_2P,3562.4,2631.6288,108.2076,0.211,2.5706,98.5938,0.8489,0.0593,3
RDT_2P,3562.5,2631.6956,103.24,0.2025,2.5711,98.4588,0.8203,0.0621,2
RDT_2P,3562.6,2631.7624,101.74,0.1958,2.562,97.9,0.7908,0.0748,2
RDT_2P,3562.7,2631.8292,88.9043,0.1931,2.5399,96.877,0.7698,0.0874,2
RDT_2P,3562.8,2631.896,81.0318,0.1921,2.5146,95.7303,0.7434,0.0992,2
RDT_2P,3562.9,2631.9628,81.0122,0.1933,2.486,94.4536,0.7089,0.1101,2
RDT_2P,3563,2632.0296,80.6645,0.1973,2.4595,93.024,0.6394,0.1218,2
RDT_2P,3563.1,2632.0964,80.4152,0.2025,2.4358,91.4819,0.5636,0.1334,2
RDT_2P,3563.2,2632.1632,80.4021,0.209,2.4163,89.7801,0.4844,0.1445,2
RDT_2P,3563.3,2632.23,79.5324,0.215,2.4027,87.9161,0.4585,0.153,2
RDT_2P,3563.4,2632.2968,78.8953,0.2202,2.3919,86.0644,0.4,0.1589,2
RDT_2P,3563.5,2632.3636,79.0992,0.224,2.3843,84.3045,0.2507,0.1604,2
RDT_2P,3563.6,2632.4304,81.9478,0.2258,2.3788,83.0083,0.2204,0.1617,2
RDT_2P,3563.7,2632.4972,84.5082,0.2266,2.3744,82.041,0.2188,0.163,2
RDT_2P,3563.8,2632.564,84.5016,0.226,2.3715,81.6497,0.2145,0.1644,2
RDT_2P,3563.9,2632.6308,84.4167,0.225,2.3703,81.7224,0.2122,0.1651,2
RDT_2P,3564,2632.6976,84.1534,0.2237,2.3701,81.994,0.2088,0.1655,2
RDT_2P,3564.1,2632.7644,83.3508,0.2221,2.3719,82.4223,0.1989,0.1654,2
RDT_2P,3564.2,2632.8312,82.5113,0.2207,2.3751,82.7268,0.2029,0.1639,2
RDT_2P,3564.3,2632.898,81.9559,0.2196,2.3791,82.9261,0.2167,0.1615,2
RDT_2P,3564.4,2632.9648,82.7663,0.2189,2.3841,82.8887,0.2476,0.1575,2
RDT_2P,3564.5,2633.0316,84.2174,0.2184,2.3896,82.7391,0.2583,0.1537,2
RDT_2P,3564.6,2633.0984,85.808,0.2181,2.3953,82.523,0.2576,0.1504,2
RDT_2P,3564.7,2633.1652,86.0237,0.218,2.4008,82.2671,0.2542,0.1497,2
RDT_2P,3564.8,2633.232,84.8626,0.2178,2.4058,81.9868,0.2466,0.1499,2
RDT_2P,3564.9,2633.2988,82.8516,0.2175,2.4103,81.6831,0.2369,0.1504,2
RDT_2P,3565,2633.3656,81.6213,0.2169,2.4143,81.2954,0.2335,0.149,2
RDT_2P,3565.1,2633.4324,81.5229,0.2161,2.4186,80.8543,0.2405,0.1467,2
RDT_2P,3565.2,2633.4992,82.3056,0.2152,2.4231,80.3705,0.2556,0.1439,2
RDT_2P,3565.3,2633.566,82.8253,0.2136,2.429,79.8665,0.2705,0.1413,2
RDT_2P,3565.4,2633.6328,82.89,0.2122,2.4354,79.4022,0.2718,0.1389,2
RDT_2P,3565.5,2633.6996,82.5175,0.2109,2.4423,78.9759,0.2601,0.1367,2
RDT_2P,3565.6,2633.7664,81.8524,0.2106,2.4486,78.6704,0.2383,0.1345,2
RDT_2P,3565.7,2633.8332,81.4022,0.211,2.4542,78.4152,0.2268,0.1328,2
RDT_2P,3565.8,2633.9,81.2114,0.212,2.4591,78.2164,0.2275,0.1317,2
RDT_2P,3565.9,2633.9668,80.8375,0.2133,2.463,78.0737,0.2357,0.1315,2
RDT_2P,3566,2634.0336,81.3707,0.2139,2.4671,77.9296,0.241,0.1291,2
RDT_2P,3566.1,2634.1004,83.2259,0.2137,2.4717,77.7785,0.2414,0.1236,2
RDT_2P,3566.2,2634.1672,86.2047,0.2108,2.4795,77.5257,0.2328,0.1185,2
RDT_2P,3566.3,2634.234,88.5126,0.206,2.4898,77.1795,0.2263,0.1121,2
RDT_2P,3566.4,2634.3008,89.381,0.1988,2.5037,76.6895,0.2253,0.1035,2
RDT_2P,3566.5,2634.3676,90.5755,0.1892,2.5222,75.945,0.2199,0.0925,1
RDT_2P,3566.6,2634.4344,90.4073,0.1789,2.5426,75.0547,0.2167,0.0829,2
RDT_2P,3566.7,2634.5012,87.2112,0.1683,2.5649,73.9575,0.2204,0.0774,4
RDT_2P,3566.8,2634.568,83.3696,0.1589,2.5861,72.6905,0.2615,0.0696,5
RDT_2P,3566.9,2634.6348,78.7088,0.1506,2.6055,71.3728,0.2999,0.0652,5
RDT_2P,3567,2634.7016,72.2971,0.1446,2.6206,70.0399,0.3039,0.0713,5
RDT_2P,3567.1,2634.7685,65.4695,0.1411,2.6281,68.8985,0.3193,0.075,5
RDT_2P,3567.2,2634.8353,60.3209,0.1395,2.63,67.9441,0.3296,0.0769,5
RDT_2P,3567.3,2634.9021,61.6433,0.1409,2.6216,67.4139,0.308,0.0759,3
RDT_2P,3567.4,2634.9689,63.7191,0.145,2.6047,67.3327,0.2612,0.0784,2
RDT_2P,3567.5,2635.0357,65.9292,0.1508,2.5833,67.5181,0.2041,0.0835,2
RDT_2P,3567.6,2635.1025,67.2187,0.1592,2.5578,68.0661,0.1489,0.0936,2
RDT_2P,3567.7,2635.1693,68.0608,0.1688,2.5353,68.7071,0.0746,0.1044,2
RDT_2P,3567.8,2635.2361,68.6397,0.1789,2.5159,69.396,0.0008,0.1153,2
RDT_2P,3567.9,2635.3029,69.0542,0.1887,2.506,70.0689,0.0072,0.1233,2
RDT_2P,3568,2635.3697,68.9437,0.1969,2.5023,70.7178,0.0262,0.1287,2
RDT_2P,3568.1,2635.4365,68.4583,0.2037,2.503,71.3484,0.0525,0.1322,2
RDT_2P,3568.2,2635.5033,67.6871,0.2076,2.5071,71.9505,0.067,0.1331,2
RDT_2P,3568.3,2635.5701,67.5752,0.2104,2.509,72.5042,0.0773,0.1331,2
RDT_2P,3568.4,2635.6369,68.0224,0.2124,2.5088,73.0125,0.0841,0.1324,2
RDT_2P,3568.5,2635.7037,69.1008,0.2145,2.4998,73.3315,0.0885,0.1335,2
RDT_2P,3568.6,2635.7705,70.1893,0.2172,2.4859,73.5425,0.0874,0.1367,2
RDT_2P,3568.7,2635.8373,71.288,0.2205,2.4674,73.6453,0.0809,0.1419,2
RDT_2P,3568.8,2635.9041,71.6388,0.2257,2.4433,73.702,0.0726,0.152,2
RDT_2P,3568.9,2635.9709,73.0677,0.2316,2.4195,73.8778,0.0717,0.1612,2
RDT_2P,3569,2636.0377,75.7801,0.2383,2.3963,74.1945,0.0796,0.1693,2
RDT_2P,3569.1,2636.1045,76.9245,0.2456,2.3791,75.0066,0.0916,0.1773,2
RDT_2P,3569.2,2636.1713,76.7958,0.2522,2.3651,76.0628,0.104,0.1854,2
RDT_2P,3569.3,2636.2381,75.0049,0.2577,2.3551,77.4164,0.1164,0.1938,2
RDT_2P,3569.4,2636.3049,74.3037,0.2603,2.3488,79.0003,0.1185,0.1985,2
RDT_2P,3569.5,2636.3717,74.7387,0.2609,2.3439,80.6238,0.1337,0.2006,2
RDT_2P,3569.6,2636.4385,76.9295,0.2591,2.3407,82.2619,0.1749,0.1989,2
RDT_2P,3569.7,2636.5053,77.7302,0.2549,2.3402,83.7849,0.1794,0.1965,2
RDT_2P,3569.8,2636.5721,78.1286,0.2499,2.3417,85.2028,0.1705,0.1936,2
RDT_2P,3569.9,2636.6389,78.2207,0.2443,2.3466,86.4356,0.1472,0.1899,2
RDT_2P,3570,2636.7057,78.2555,0.2386,2.3575,87.3579,0.1471,0.184,2
RDT_2P,3570.1,2636.7725,79.0055,0.2329,2.3718,88.0712,0.1578,0.1761,2
RDT_2P,3570.2,2636.8393,81.8345,0.2278,2.3913,88.4248,0.1817,0.1642,2
RDT_2P,3570.3,2636.9061,86.3479,0.2239,2.4133,88.4004,0.1882,0.1496,2
RDT_2P,3570.4,2636.9729,91.1367,0.2209,2.4356,88.1441,0.1887,0.1345,2
RDT_2P,3570.5,2637.0397,94.8033,0.2197,2.4561,87.5361,0.1896,0.1209,2
RDT_2P,3570.6,2637.1065,96.9205,0.2193,2.4723,86.7047,0.1997,0.1109,2
RDT_2P,3570.7,2637.1733,98.1189,0.2193,2.4855,85.7449,0.2196,0.1034,2
RDT_2P,3570.8,2637.2401,98.23,0.2202,2.4936,84.6486,0.267,0.0998,3
RDT_2P,3570.9,2637.3069,98.0089,0.221,2.4988,83.5459,0.3164,0.098,3
RDT_2P,3571,2637.3737,97.605,0.2217,2.502,82.4525,0.3639,0.0972,3
RDT_2P,3571.1,2637.4405,97.23,0.2213,2.5026,81.4524,0.3898,0.0972,3
RDT_2P,3571.2,2637.5073,96.1075,0.2202,2.5017,80.5558,0.4037,0.0982,3
RDT_2P,3571.3,2637.5741,94.5429,0.2185,2.4996,79.7425,0.4091,0.0997,3
RDT_2P,3571.4,2637.6409,93.7271,0.2162,2.4956,79.1219,0.4062,0.1019,3
RDT_2P,3571.5,2637.7077,93.1803,0.2142,2.4908,78.6295,0.4024,0.104,3
RDT_2P,3571.6,2637.7745,92.8776,0.2126,2.4855,78.2466,0.3977,0.106,3
RDT_2P,3571.7,2637.8413,93.7592,0.2122,2.4801,78.0951,0.383,0.1071,3
RDT_2P,3571.8,2637.9081,94.2,0.2122,2.4753,78.0479,0.3699,0.1085,3
RDT_2P,3571.9,2637.9749,94.2,0.2127,2.471,78.105,0.3585,0.11,3
RDT_2P,3572,2638.0417,94.1295,0.2142,2.4689,78.3005,0.3532,0.1116,3
RDT_2P,3572.1,2638.1085,93.8058,0.2157,2.4679,78.522,0.3542,0.113,3
RDT_2P,3572.2,2638.1753,93.1742,0.2172,2.4681,78.7718,0.363,0.1141,3
