WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_7P,3187.1412,2948.2796,102.369,0.184,2.53,74.604,0.5122,0.0679,3
RD_7P,3187.2174,2948.3513,101.565,0.186,2.532,74.699,0.5207,0.0666,3
RD_7P,3187.2936,2948.4231,100.751,0.187,2.534,74.812,0.5309,0.0652,3
RD_7P,3187.3698,2948.4948,100.135,0.189,2.535,74.933,0.5373,0.0645,3
RD_7P,3187.446,2948.5666,99.964,0.19,2.537,75.07,0.5475,0.0631,5
RD_7P,3187.5222,2948.6383,100.52,0.192,2.54,75.229,0.5579,0.0612,5
RD_7P,3187.5984,2948.71,101.983,0.194,2.544,75.422,0.573,0.0586,5
RD_7P,3187.6746,2948.7818,104.3,0.197,2.549,75.687,0.591,0.0552,5
RD_7P,3187.7508,2948.8535,107.04,0.2,2.555,76.073,0.6136,0.0512,5
RD_7P,3187.827,2948.9253,109.458,0.203,2.559,76.586,0.6322,0.0484,5
RD_7P,3187.9032,2948.997,110.83,0.204,2.562,77.172,0.6472,0.0463,5
RD_7P,3187.9794,2949.0688,110.897,0.204,2.562,77.756,0.6499,0.0462,5
RD_7P,3188.0556,2949.1405,110.021,0.203,2.56,78.291,0.6451,0.0475,5
RD_7P,3188.1318,2949.2123,108.758,0.203,2.557,78.751,0.6363,0.0494,5
RD_7P,3188.208,2949.284,107.548,0.202,2.553,79.092,0.6275,0.0519,5
RD_7P,3188.2842,2949.3557,106.569,0.202,2.55,79.254,0.6187,0.0538,5
RD_7P,3188.3604,2949.4275,105.901,0.199,2.549,79.207,0.6146,0.0545,5
RD_7P,3188.4366,2949.4992,105.541,0.193,2.55,78.993,0.604,0.0542,5
RD_7P,3188.5128,2949.571,105.54,0.186,2.552,78.707,0.5862,0.0535,5
RD_7P,3188.589,2949.6427,105.986,0.178,2.557,78.427,0.5709,0.051,5
RD_7P,3188.6652,2949.7145,106.886,0.17,2.563,78.16,0.555,0.0479,5
RD_7P,3188.7414,2949.7862,107.909,0.166,2.569,77.859,0.5414,0.0446,5
RD_7P,3188.8176,2949.858,108.39,0.164,2.575,77.473,0.5406,0.0411,5
RD_7P,3188.8938,2949.9297,107.692,0.166,2.58,76.999,0.5459,0.0381,5
RD_7P,3188.97,2950.0015,105.58,0.17,2.583,76.468,0.5601,0.036,5
RD_7P,3189.0462,2950.0732,102.243,0.174,2.585,75.891,0.5783,0.0345,5
RD_7P,3189.1224,2950.1449,98.173,0.176,2.585,75.244,0.5643,0.037,5
RD_7P,3189.1986,2950.2167,93.972,0.176,2.582,74.528,0.5205,0.0436,5
RD_7P,3189.2748,2950.2884,90.093,0.174,2.576,73.817,0.4801,0.0506,3
RD_7P,3189.351,2950.3602,86.882,0.172,2.566,73.239,0.4467,0.0579,3
RD_7P,3189.4272,2950.4319,84.471,0.17,2.556,72.87,0.4216,0.0642,3
RD_7P,3189.5034,2950.5037,82.907,0.17,2.545,72.706,0.4053,0.0699,3
RD_7P,3189.5796,2950.5754,82.336,0.171,2.538,72.696,0.3993,0.0733,3
RD_7P,3189.6558,2950.6472,82.812,0.173,2.535,72.792,0.4043,0.0743,3
RD_7P,3189.732,2950.7189,84.105,0.174,2.536,72.964,0.4178,0.0729,3
RD_7P,3189.8082,2950.7906,85.883,0.175,2.539,73.187,0.4363,0.0698,3
RD_7P,3189.8844,2950.8624,87.83,0.176,2.542,73.42,0.4566,0.0666,3
RD_7P,3189.9606,2950.9341,89.722,0.177,2.543,73.639,0.4763,0.0643,3
RD_7P,3190.0368,2951.0059,91.477,0.178,2.541,73.85,0.4946,0.0634,3
RD_7P,3190.113,2951.0776,93.049,0.179,2.538,74.061,0.51,0.0633,3
