WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_2P_P,3444.6,3125.8319,110.1855,0.1943,2.6065,79.2206,0.7045,0.0194,5
RD_2P_P,3444.75,3125.9584,109.9604,0.201,2.6116,80.2474,0.7475,0.0157,5
RD_2P_P,3444.9,3126.0849,114.0063,0.2165,2.612,81.0539,0.7962,0.0109,5
RD_2P_P,3445.05,3126.2115,118.8789,0.2302,2.6043,81.7587,0.8106,0.01,5
RD_2P_P,3445.2,3126.338,121.9021,0.2321,2.6005,82.1419,0.7649,0.0204,5
RD_2P_P,3445.35,3126.4645,124.763,0.2205,2.5898,81.6037,0.6712,0.038,5
RD_2P_P,3445.5,3126.591,120.2374,0.2023,2.5711,80.3188,0.5722,0.0468,5
RD_2P_P,3445.65,3126.7175,106.625,0.1784,2.5658,77.3144,0.519,0.0419,5
RD_2P_P,3445.8,3126.844,91.8184,0.1645,2.5858,75.0516,0.4866,0.0374,5
RD_2P_P,3445.95,3126.9706,87.9544,0.1664,2.6109,75.2326,0.5683,0.0315,5
RD_2P_P,3446.1,3127.0971,98.1239,0.1911,2.6247,76.6886,0.7191,0.0191,5
RD_2P_P,3446.25,3127.2236,113.435,0.209,2.6129,79.5856,0.7554,0.0195,5
RD_2P_P,3446.4,3127.3501,118.1122,0.214,2.606,82.2266,0.7455,0.0242,5
RD_2P_P,3446.55,3127.4766,122.9726,0.216,2.5955,82.6862,0.7769,0.0173,5
RD_2P_P,3446.7,3127.6031,119.3756,0.2276,2.5947,82.7678,0.8017,0.0114,5
RD_2P_P,3446.85,3127.7296,127.1675,0.2339,2.5947,82.5888,0.7757,0.0178,5
RD_2P_P,3447,3127.8562,127.6489,0.2267,2.5913,82.4911,0.709,0.036,5
RD_2P_P,3447.15,3127.9827,126.413,0.2146,2.5779,82.1623,0.6752,0.0421,5
RD_2P_P,3447.3,3128.1092,118.6379,0.2101,2.5715,81.2812,0.6885,0.0409,5
RD_2P_P,3447.45,3128.2357,113.6627,0.2137,2.574,81.1411,0.6986,0.0397,5
RD_2P_P,3447.6,3128.3622,111.2064,0.2171,2.5762,80.8869,0.7069,0.039,5
RD_2P_P,3447.75,3128.4887,110.0273,0.2182,2.5682,80.6488,0.6954,0.0435,5
RD_2P_P,3447.9,3128.6153,114.1146,0.2252,2.5777,80.79,0.7388,0.0323,5
RD_2P_P,3448.05,3128.7418,115.96,0.2221,2.5871,80.8309,0.7474,0.0284,5
RD_2P_P,3448.2,3128.8683,121.9699,0.2147,2.5967,81.158,0.7394,0.026,5
RD_2P_P,3448.35,3128.9948,124.1394,0.197,2.5908,81.724,0.6661,0.0312,5
RD_2P_P,3448.5,3129.1213,122.884,0.2137,2.5884,82.4511,0.7226,0.0307,5
RD_2P_P,3448.65,3129.2478,115.7261,0.2394,2.59,82.9002,0.778,0.017,5
RD_2P_P,3448.8,3129.3744,116.9524,0.2636,2.5906,83.1859,0.8024,0.0111,5
RD_2P_P,3448.95,3129.5009,120.2413,0.2602,2.5946,83.8076,0.8399,0.0053,5
RD_2P_P,3449.1,3129.6274,124.3467,0.2545,2.5966,84.1743,0.8701,0.003,5
RD_2P_P,3449.25,3129.7539,118.52,0.2592,2.6037,84.2445,0.8162,0.0089,5
RD_2P_P,3449.4,3129.8804,118.3307,0.2651,2.6055,84.04,0.8289,0.0075,5
RD_2P_P,3449.55,3130.0069,126.8542,0.2677,2.6033,83.6505,0.9024,0.002,5
RD_2P_P,3449.7,3130.1334,128.1896,0.2529,2.593,83.1498,0.8567,0.0045,5
RD_2P_P,3449.85,3130.26,127.7672,0.2438,2.5771,83.1608,0.7957,0.0141,5
RD_2P_P,3450,3130.3865,124.0978,0.2325,2.5721,84.0284,0.7615,0.024,5
RD_2P_P,3450.15,3130.513,128.1967,0.2359,2.5817,84.6878,0.7875,0.0153,5
RD_2P_P,3450.3,3130.6395,126.9132,0.2309,2.5938,84.7758,0.7956,0.0125,5
RD_2P_P,3450.45,3130.766,119.83,0.2345,2.6078,84.4307,0.794,0.0131,5
RD_2P_P,3450.6,3130.8925,113.8922,0.233,2.6213,83.9974,0.7723,0.018,5
RD_2P_P,3450.75,3131.0191,115.9651,0.2332,2.6412,83.3599,0.8062,0.0105,5
RD_2P_P,3450.9,3131.1456,121.4871,0.2305,2.6501,83.2287,0.8612,0.0024,5
RD_2P_P,3451.05,3131.2721,125.4526,0.2359,2.6367,83.4484,0.8735,0.0025,5
RD_2P_P,3451.2,3131.3986,125.1179,0.2358,2.6104,83.5692,0.8294,0.0078,5
RD_2P_P,3451.35,3131.5251,122.9044,0.2363,2.5875,83.9603,0.7855,0.0163,5
RD_2P_P,3451.5,3131.6516,119.8273,0.232,2.5757,84.0705,0.7643,0.0227,5
RD_2P_P,3451.65,3131.7782,118.6928,0.2367,2.5722,84.1643,0.7716,0.0198,5
RD_2P_P,3451.8,3131.9047,115.9958,0.2446,2.573,84.3062,0.7775,0.0174,5
RD_2P_P,3451.95,3132.0312,115.2162,0.2535,2.5786,84.5833,0.7833,0.0157,5
RD_2P_P,3452.1,3132.1577,115.9185,0.2556,2.5871,84.7068,0.7826,0.0159,5
RD_2P_P,3452.25,3132.2842,114.8251,0.2576,2.5939,84.8192,0.7846,0.0161,5
RD_2P_P,3452.4,3132.4107,116.4763,0.2547,2.5978,84.6389,0.8054,0.0112,5
RD_2P_P,3452.55,3132.5372,118.7268,0.2495,2.6046,84.2773,0.831,0.0065,5
RD_2P_P,3452.7,3132.6638,120.9078,0.2432,2.6185,84.0505,0.8476,0.0046,5
RD_2P_P,3452.85,3132.7903,121.7672,0.2398,2.6352,83.8016,0.8274,0.0087,5
RD_2P_P,3453,3132.9168,117.3558,0.2449,2.6421,83.5837,0.7829,0.0177,5
RD_2P_P,3453.15,3133.0433,113.6825,0.2486,2.6356,83.4595,0.7546,0.0257,5
RD_2P_P,3453.3,3133.1698,112.3263,0.2449,2.6182,83.3041,0.7373,0.0317,5
RD_2P_P,3453.45,3133.2963,111.6497,0.2294,2.5966,82.9159,0.7167,0.0347,5
RD_2P_P,3453.6,3133.4229,115.2589,0.2135,2.5833,82.4109,0.7015,0.0363,5
RD_2P_P,3453.75,3133.5494,116.8017,0.2123,2.579,82.0233,0.7208,0.0323,5
RD_2P_P,3453.9,3133.6759,115.5596,0.221,2.5836,81.8411,0.7526,0.0245,5
RD_2P_P,3454.05,3133.8024,115.7932,0.2278,2.5921,81.912,0.7596,0.0226,5
RD_2P_P,3454.2,3133.9289,114.3563,0.2224,2.6027,82.3285,0.7709,0.0164,5
RD_2P_P,3454.35,3134.0554,120.4741,0.2137,2.6177,82.9722,0.7822,0.0075,5
RD_2P_P,3454.5,3134.182,123.7107,0.2075,2.6305,83.1092,0.7914,0.0033,5
RD_2P_P,3454.65,3134.3085,123.0965,0.2088,2.6344,82.9649,0.7865,0.0063,5
